,titles,ratings
4,'R Xmas,5.8
5,'Til There Was You,4.8
7,"'night, Mother",7.6
30,10 Items or Less,6.6
67,12 Monkeys,8.0
80,13 Going on 30,6.2
90,1408,6.8
96,16 Years of Alcohol,6.3
102,1776,7.6
152,2001: A Space Odyssey,8.3
185,27 Missing Kisses,6.7
192,2:37,6.8
207,3 Ninjas,5.3
273,50 First Dates,6.8
280,52 Pick-Up,6.4
282,54,5.9
293,666: The Child,2.8
306,7 Zwerge – Der Wald ist nicht genug,4.1
329,8mm,6.5
330,8mm 2,4.5
332,8½ Women,5.8
335,9 to 5,6.8
343,9½ Weeks,6.0
350,A Beautiful Mind,8.2
369,A Brief History of Time,7.3
383,A Cat in the Brain,5.7
386,A Chef in Love,6.8
388,A Chinese Ghost Story,7.5
390,A Chinese Ghost Story III,6.7
393,A Chinese Tall Story,4.9
394,A Chorus Line,6.2
395,A Christmas Carol,7.8
400,A Christmas Tale,7.1
413,A Connecticut Yankee in King Arthur's Court,6.6
420,A Cry in the Wild,5.5
430,A Decade Under the Influence,7.6
435,A Dog of Flanders,6.4
440,A Double Life,7.0
453,A Farewell to Arms,5.9
467,A Foreign Affair,7.3
500,A Guy Thing,5.6
549,A Little Princess,7.7
560,A Love Song for Bobby Long,7.1
582,A Matter of Life and Death,8.1
587,A Midnight Clear,7.1
588,A Midsummer Night's Dream,6.4
589,A Midsummer Night's Sex Comedy,6.6
598,A Month by the Lake,6.2
615,A Nightmare on Elm Street 3: Dream Warriors,6.6
617,A Nightmare on Elm Street 5: The Dream Child,5.2
621,A Perfect Couple,6.7
637,A Prayer for the Dying,6.3
638,A Price Above Rubies,6.6
643,A Pure Formality,7.7
644,A Pyromaniac's Love Story,5.3
658,A River Runs Through It,7.2
678,A Short Film About Love,8.2
688,A Simple Twist of Fate,6.3
695,A Smile Like Yours,4.9
701,A Sound of Thunder,4.2
702,A Special Day,8.1
703,A Star Is Born,6.2
715,A Tale of Two Sisters,7.2
724,A Thousand Acres,6.1
725,A Thousand Clouds of Peace,5.9
734,A Time to Kill,7.5
738,A Touch of Spice,7.5
751,A Walk in the Clouds,6.7
754,A Walk on the Moon,6.6
768,A Woman Under the Influence,8.2
792,AKA,6.2
800,Aag,1.7
805,Aalavandhan,7.2
861,Absolute Beginners,5.5
870,Accepted,6.4
890,Acolytes,5.6
896,Across the Wide Missouri,6.2
898,Acting on Impulse,6.1
909,Adam & Paul,7.1
941,Adventures in Babysitting,6.9
963,"After Dark, My Sweet",6.6
995,Against All Flags,6.6
998,Against the Law,4.6
1000,Agata and the Storm,6.5
1040,Air America,5.8
1041,Air Bud: Golden Receiver,4.5
1044,Air Bud: World Pup,4.6
1056,Airport '77,5.7
1073,Akira,8.0
1074,Aksar,4.8
1096,Albino Alligator,6.1
1106,Alex l'ariete,1.9
1115,Algiers,6.7
1124,Alice,6.6
1130,Alice's Odyssey,5.3
1143,Alien from L.A.,2.9
1147,Alienator,3.2
1150,Aliens vs. Predator: Requiem,4.7
1173,All I Want,6.0
1186,All Over the Guy,6.5
1200,"All This, and Heaven Too",7.5
1204,All about Lily Chou-Chou,7.6
1211,All the Boys Love Mandy Lane,5.5
1212,All the Days Before Tomorrow,6.1
1230,Alles auf Zucker!,6.7
1253,Alone in the Dark,2.4
1256,Along Came Polly,6.0
1269,Altered,5.6
1274,Always,6.4
1294,Amazing Grace and Chuck,5.9
1301,Ambushed,5.9
1307,America's Sweethearts,5.7
1312,American Buffalo,5.7
1313,American Cowslip,5.0
1339,American Movie,7.9
